durante_Gio_delta_1,durante_Gio_delta_2,durante_Gio_delta_3,durante_Gio_delta_4,durante_Gio_delta_5,durante_Gio_delta_6,durante_Gio_delta_7,durante_Gio_delta_8,durante_Gio_delta_9,durante_Gio_delta_10,durante_Gio_delta_11,durante_Gio_delta_12,durante_Gio_delta_13,durante_Gio_delta_14,durante_Gio_delta_15,durante_Gio_delta_16,durante_Gio_delta_17,durante_Gio_delta_18,durante_Gio_delta_19,Clase
8.759,11.1746,9.0944,9.8095,10.5349,11.2165,7.2376,9.1241,8.3114,9.6867,12.9357,0.75803,7.1369,12.3354,10.4162,6.712,11.6602,11.145,5.4005,M
10.382,9.7661,7.4823,2.8005,7.9036,4.9063,4.0066,0.74752,9.7404,5.7849,2.0147,8.4388,9.6672,6.6724,2.0406,8.4499,8.5058,2.0787,8.4948,M
17.1632,16.5791,16.4137,16.4936,15.4183,17.3676,16.4925,16.2354,16.5016,16.6223,16.6083,3.6323,16.5248,16.1294,16.6297,16.5197,16.4894,17.1003,16.5832,M
8.1024,6.1366,7.2415,5.5019,7.4363,7.2553,6.7221,5.1665,7.1803,6.8736,7.2461,7.5133,7.702,3.8727,6.7577,6.0076,6.3639,6.2328,6.5296,H
8.7228,8.576,8.1243,8.4423,5.008,9.0763,7.8003,5.2137,7.166,6.4362,7.3785,7.1676,8.3022,8.1359,5.8819,4.2975,5.6626,2.7554,3.4735,M
9.5601,11.4207,16.4616,17.3266,14.2932,6.6549,15.3878,12.4172,14.4051,16.427,14.3016,10.4614,17.3479,15.3685,14.4755,11.4225,16.3685,9.5719,15.3861,M
6.988,9.9455,8.9982,11.3047,11.618,6.6323,0.66627,6.6969,9.7258,7.1791,10.2357,6.1455,11.5152,8.9849,6.5958,8.4267,10.486,4.5049,3.9541,M
6.0433,5.9033,3.903,8.1348,8.5353,5.2109,2.0921,6.9664,9.8266,10.4689,8.5377,3.9124,8.7212,8.4406,5.8495,6.7905,8.6436,4.5152,4.4804,H
6.4972,1.2795,11.5716,11.5716,9.9525,2.9284,4.8669,1.546,10.6359,7.5098,11.4922,8.8998,8.4585,8.5517,8.5037,8.3259,11.4344,8.1963,9.9082,M
8.2402,3.2287,5.2771,4.8006,8.2023,7.6718,2.8961,6.5653,8.3931,9.7217,6.3503,6.9535,5.5722,7.3464,5.5721,7.5623,4.2696,3.5922,7.3739,H
5.7842,5.3936,8.9109,10.7503,10.4346,2.0499,4.2037,6.4684,9.5311,8.234,10.539,5.9877,10.6289,10.5243,9.7294,9.7216,7.8368,6.7228,7.9014,M
11.9771,12.0313,11.103,10.7487,10.4349,8.6729,8.9776,3.165,12.2924,8.0999,11.725,11.086,11.1088,10.9618,10.4078,8.1291,5.2383,9.2007,2.1027,H
8.5172,9.4533,14.5805,8.667,9.5269,7.5359,11.0899,10.9241,10.6996,12.2258,6.7193,9.4698,8.7268,11.0956,7.7424,5.8986,5.3254,6.3357,10.6407,H
4.3634,16.5617,15.0386,14.8927,14.9091,14.5647,13.8343,14.6708,16.5642,13.169,13.9619,4.3732,16.5821,14.0618,14.0346,13.9065,9.5194,14.555,13.7265,H
15.4289,12.4035,10.2253,13.3755,15.3383,14.4574,14.3492,13.8388,16.4747,15.1229,9.4891,16.3073,6.7241,15.612,15.3817,15.056,12.9896,14.7663,9.9034,H
