durante_Gio_delta_1,durante_Gio_delta_2,durante_Gio_delta_3,durante_Gio_delta_4,durante_Gio_delta_5,durante_Gio_delta_6,durante_Gio_delta_7,durante_Gio_delta_8,durante_Gio_delta_9,durante_Gio_delta_10,durante_Gio_delta_11,durante_Gio_delta_12,durante_Gio_delta_13,durante_Gio_delta_14,durante_Gio_delta_15,durante_Gio_delta_16,durante_Gio_delta_17,durante_Gio_delta_18,durante_Gio_delta_19,Sujeto,Clase
14.4986,12.3574,11.9984,9.3425,13.3786,1.5551,8.5989,14.7563,14.1827,14.95,14.1129,14.7945,14.1778,15.1463,14.2122,12.8698,15.3884,14.3249,14.2046,B22VIPU,B
8.846,7.8954,10.2211,9.9944,4.9312,1.5552,2.2158,8.9289,9.9873,10.638,7.6427,7.1533,7.5292,7.918,7.7021,2.9893,2.014,3.4259,8.2666,B24CECU,B
3.2701,15.45,16.0582,13.2278,11.716,9.5073,14.3836,12.6296,14.5986,15.4796,15.0701,9.6621,14.6255,15.4656,15.4208,12.799,14.9252,14.4632,15.9575,B4CAZAD,B
5.9452,9.0694,4.2093,7.6349,6.871,6.3371,7.3927,5.3048,7.9061,3.4881,7.0778,1.996,5.8704,4.2003,7.9543,7.2789,4.7151,8.8265,9.1517,B7MESEA,B
6.1045,11.3077,10.2029,10.0877,11.4748,12.9343,9.0571,6.3903,12.4506,7.3129,11.4368,11.1371,9.2624,12.6869,10.1244,9.4395,5.1408,6.4124,6.506,B8RAMOM,B
4.474,10.9731,6.3598,7.9426,9.8677,9.9876,7.8372,3.6649,6.6086,7.3088,10.5793,4.3941,8.0081,4.5788,9.3174,10.1709,9.6038,8.286,4.3927,M9BENIE,M
11.4971,11.181,4.9344,12.2352,7.5217,11.7964,13.2683,4.8048,10.991,10.4205,12.1294,12.4169,11.3301,10.4761,5.9447,3.7204,12.3068,12.4972,12.5237,M12SAES,M
8.1024,6.1366,7.2415,5.5019,7.4363,7.2553,6.7221,5.1665,7.1803,6.8736,7.2461,7.5133,7.702,3.8727,6.7577,6.0076,6.3639,6.2328,6.5296,M19NAMO,M
6.0433,5.9033,3.903,8.1348,8.5353,5.2109,2.0921,6.9664,9.8266,10.4689,8.5377,3.9124,8.7212,8.4406,5.8495,6.7905,8.6436,4.5152,4.4804,M24SAME,M
8.2402,3.2287,5.2771,4.8006,8.2023,7.6718,2.8961,6.5653,8.3931,9.7217,6.3503,6.9535,5.5722,7.3464,5.5721,7.5623,4.2696,3.5922,7.3739,M27MUAG,M
11.9771,12.0313,11.103,10.7487,10.4349,8.6729,8.9776,3.165,12.2924,8.0999,11.725,11.086,11.1088,10.9618,10.4078,8.1291,5.2383,9.2007,2.1027,M3ESDIR,M
8.5172,9.4533,14.5805,8.667,9.5269,7.5359,11.0899,10.9241,10.6996,12.2258,6.7193,9.4698,8.7268,11.0956,7.7424,5.8986,5.3254,6.3357,10.6407,M7FLSAA,M
4.3634,16.5617,15.0386,14.8927,14.9091,14.5647,13.8343,14.6708,16.5642,13.169,13.9619,4.3732,16.5821,14.0618,14.0346,13.9065,9.5194,14.555,13.7265,M8AVGUK,M
15.4289,12.4035,10.2253,13.3755,15.3383,14.4574,14.3492,13.8388,16.4747,15.1229,9.4891,16.3073,6.7241,15.612,15.3817,15.056,12.9896,14.7663,9.9034,M9SAAND,M
