durante_C_delta_1,durante_C_delta_2,durante_C_delta_3,durante_C_delta_4,durante_C_delta_5,durante_C_delta_6,durante_C_delta_7,durante_C_delta_8,durante_C_delta_9,durante_C_delta_10,durante_C_delta_11,durante_C_delta_12,durante_C_delta_13,durante_C_delta_14,durante_C_delta_15,durante_C_delta_16,durante_C_delta_17,durante_C_delta_18,durante_C_delta_19,Sujeto,Clase
0.95238,0.77778,0.6,0.60714,0.78571,0.66667,0.78571,1,0.56061,0.82143,0.46429,0.71111,0.77778,0.63889,0.5303,0.48889,0.77778,0.63889,0.78571,A9AYAND,A
0.81618,0.84762,0.875,1,0.94505,0.83333,0.78431,0.92381,0.81618,0.78431,0.875,1,0.92727,0.78431,0.92381,0.92381,1,0.96703,0.96154,B11SUPR,B
0.75,0.68571,0.55556,0.81818,0.87273,0.85455,0.89286,0.65934,0.82143,0.72527,0.76923,1,0.63636,0.65455,0.80303,0.83636,0.33333,1,0.76923,B12LARA,B
0.77778,1,0.71111,0.69444,0.93333,0.93333,0.33333,0.52381,0.83333,0.62222,0.85714,0.73333,0.80556,0.61538,0.58182,0.56061,0.57143,0.77778,0.66667,B13VIGA,B
0.88889,0.76364,0.77273,1,1,1,0.83333,1,0.88889,0.77273,0.65455,0.88889,0.62637,0.69231,0.65455,0.85714,0.88889,0.77273,0.57576,B18CASI,B
0.91176,0.95238,0.94286,1,0.95,1,0.98182,0.91176,0.94167,0.91176,0.95,0.91176,0.94167,0.91176,0.95,0.9619,0.81699,0.81618,0.95,B22VIPU,B
0.89091,0.88889,0.76923,0.65385,0.71429,0,0.33333,0.80303,0.83333,0.76923,0.55556,0.66667,0.93333,0.95556,0.69091,0.5,0.66667,0.5,0.89091,B24CECU,B
1,0.91176,0.83007,0.99048,1,0.9697,0.91176,0.99048,0.94167,0.91176,0.91176,0.86364,0.95,0.91176,0.91176,0.99048,0.83824,0.95,0.83007,B4CAZAD,B
0.63889,0.68182,0.46667,0.66667,0.69444,0.75,0.64444,0.66667,0.68889,0.3,0.71111,0.33333,0.57143,0.46667,0.6,0.75,0.38095,0.54545,0.66667,B7MESEA,B
1,0.75824,0.71795,0.80769,0.74286,0.66912,0.83333,0.96429,0.69167,0.91667,0.78022,0.73626,0.83636,0.69167,0.80769,0.81818,0.7619,1,0.69444,B8RAMOM,B
0.8,0.60952,0.89286,0.84444,0.75758,0.70513,0.65455,1,0.77778,0.62222,0.71795,0.8,0.83636,0.8,0.66667,0.70513,0.65385,0.78182,0.66667,M9BENIE,M
0.91209,0.78095,0.95238,0.8381,0.82222,0.91209,0.78333,0.90476,0.78095,0.85897,0.76667,0.8381,0.8381,0.9011,0.92857,1,0.8381,0.8381,0.8381,M12SAES,M
0.58182,0.67857,0.66667,0.71429,0.64444,0.77778,0.77778,0.85714,0.72222,0.66667,0.6,0.66667,0.64444,0.6,0.77778,0.66667,0.71429,0.44444,0.75,M19NAMO,M
0.67857,0.7619,1,0.84444,0.74545,0.52381,0.66667,0.88889,0.53846,0.52747,0.74545,1,0.69091,0.74545,0.82143,0.66667,0.62121,0.86667,0.53333,M24SAME,M
0.70909,0.5,0.66667,0.73333,0.74545,0.6,0.66667,0.66667,0.70909,0.60256,0.63889,0.53333,0.64286,0.68889,0.67857,0.73333,0.4,0.6,0.8,M27MUAG,M
0.8,0.8,0.81319,0.84615,0.78022,0.85455,0.74242,0.9,0.80952,0.8,0.72381,0.81319,0.84615,0.83516,0.78022,0.67273,0.82143,0.66667,1,M3ESDIR,M
0.82222,0.76364,0.58088,0.8,0.74545,0.86111,0.67949,0.67949,0.72727,0.65934,0.92857,0.74545,0.77778,0.61538,0.80556,0.90476,1,0.95238,0.58974,M7FLSAA,M
1,0.78431,0.94167,0.94167,0.94167,0.94167,1,0.94167,0.78431,1,1,1,0.78431,1,1,1,0.78182,0.94167,1,M8AVGUK,M
0.85294,0.93407,1,0.91429,0.88235,0.89167,0.90833,0.89167,0.83007,0.88235,0.98182,0.83007,1,0.88235,0.88235,0.88235,0.89524,0.86029,0.95455,M9SAAND,M
