theta_C_D_1,theta_C_D_2,theta_C_D_3,theta_C_D_4,theta_C_D_5,theta_C_D_6,theta_C_D_7,theta_C_D_8,theta_C_D_9,theta_C_D_10,theta_C_D_11,theta_C_D_12,theta_C_D_13,theta_C_D_14,theta_C_D_15,theta_C_D_16,theta_C_D_17,theta_C_D_18,theta_C_D_19,theta_C_D_20,Sujeto,clase
0.6222222222222222,0.7333333333333333,0.5111111111111111,0.5714285714285714,0.6785714285714286,0.7142857142857143,1.0,0.6785714285714286,0.8666666666666667,0.8666666666666667,0.7777777777777778,0.8095238095238095,NaN,0.9285714285714286,0.8611111111111112,0.7333333333333333,0.42857142857142855,1.0,0.7777777777777778,0.6545454545454545,A24FLMA,A
0.7802197802197802,0.780952380952381,0.4888888888888889,0.5714285714285714,0.6818181818181818,0.8222222222222222,0.7238095238095238,0.6190476190476191,0.6833333333333333,0.6857142857142857,0.8,0.8787878787878788,1.0,0.75,0.8,0.7564102564102564,0.9090909090909091,0.8461538461538461,0.8589743589743589,0.7818181818181819,A52CUCA,A
0.6666666666666666,0.7090909090909091,0.5272727272727272,0.6909090909090909,0.7636363636363637,0.47619047619047616,0.7142857142857143,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.42857142857142855,0.7333333333333333,0.6666666666666666,0.6071428571428571,0.4666666666666667,0.6071428571428571,0.75,0.6,0.7,0.8214285714285714,A9AYAND,A
0.7802197802197802,0.8909090909090909,0.7083333333333334,0.6544117647058824,0.7523809523809524,0.782051282051282,0.782051282051282,0.6544117647058824,0.8928571428571429,1.0,0.7333333333333333,0.6538461538461539,0.9777777777777777,0.8888888888888888,1.0,0.8888888888888888,0.7948717948717948,0.8636363636363636,0.8888888888888888,0.7818181818181819,B9BENIE,M
0.9934640522875817,0.9934640522875817,1.0,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,NaN,0.9934640522875817,0.9934640522875817,0.9934640522875817,1.0,0.9934640522875817,0.9934640522875817,0.9934640522875817,M12SAES,M
0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9779411764705882,0.9714285714285714,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9779411764705882,NaN,0.9411764705882353,0.9411764705882353,0.9779411764705882,1.0,1.0,1.0,0.9411764705882353,M19NAMO,M
0.9673202614379085,0.9673202614379085,0.9904761904761905,0.9673202614379085,0.9673202614379085,0.9852941176470589,0.9673202614379085,0.9833333333333333,0.9673202614379085,0.9673202614379085,1.0,0.9673202614379085,NaN,0.9852941176470589,0.9673202614379085,0.9779411764705882,0.9673202614379085,0.9673202614379085,0.9673202614379085,0.9673202614379085,M24SAME,M
0.945054945054945,0.9047619047619048,0.8333333333333334,0.9047619047619048,0.945054945054945,0.8333333333333334,0.9047619047619048,1.0,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.9,0.9047619047619048,0.8,0.7833333333333333,0.775,NaN,NaN,0.8791208791208791,0.7878787878787878,M27MUAG,M
0.8562091503267973,0.9120879120879121,0.9777777777777777,0.8562091503267973,0.945054945054945,0.8970588235294118,0.8676470588235294,0.8676470588235294,0.9333333333333333,0.9871794871794872,0.9047619047619048,0.9120879120879121,0.819047619047619,0.8562091503267973,0.9166666666666666,0.8916666666666667,0.8562091503267973,0.8970588235294118,NaN,0.8970588235294118,M3ESDIR,M
0.5,0.7051282051282052,0.7555555555555555,0.7818181818181819,0.6666666666666666,0.5769230769230769,0.6153846153846154,0.8,0.696969696969697,0.7454545454545455,0.5277777777777778,0.6060606060606061,NaN,0.5777777777777777,0.8181818181818182,0.8,1.0,0.6944444444444444,1.0,0.5333333333333333,M7FLSAA,M
0.9926470588235294,0.9926470588235294,0.9926470588235294,0.9411764705882353,0.9411764705882353,0.8538011695906432,0.8562091503267973,0.9411764705882353,1.0,0.8545454545454545,0.9411764705882353,0.9411764705882353,0.9926470588235294,0.9926470588235294,0.9926470588235294,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9926470588235294,M8AVGUK,M
0.8538011695906432,0.8538011695906432,0.9083333333333333,0.9150326797385621,0.9150326797385621,0.9150326797385621,0.9150326797385621,0.9411764705882353,0.9150326797385621,0.9583333333333334,0.8538011695906432,0.9150326797385621,1.0,0.9238095238095239,0.8758169934640523,0.9238095238095239,0.9809523809523809,0.9150326797385621,1.0,0.9809523809523809,M9SAAND,M
