despues_Gio_gamma_1,despues_Gio_gamma_2,despues_Gio_gamma_3,despues_Gio_gamma_4,despues_Gio_gamma_5,despues_Gio_gamma_6,despues_Gio_gamma_7,despues_Gio_gamma_8,despues_Gio_gamma_9,despues_Gio_gamma_10,despues_Gio_gamma_11,despues_Gio_gamma_12,despues_Gio_gamma_13,despues_Gio_gamma_14,despues_Gio_gamma_15,despues_Gio_gamma_16,despues_Gio_gamma_17,despues_Gio_gamma_18,despues_Gio_gamma_19,Clase
0.84346,1.6024,6.6189,6.0363,6.3443,0,0,2.6328,3.33,6.0749,8.0292,0.84346,0,6.7474,6.2934,6.2319,0.79407,0.79434,4.1876,H
2.3937,4.0209,7.5097,7.8838,6.1557,1.6204,0,5.9876,6.6468,9.9343,8.5078,0.77208,0.77398,4.1255,7.5084,6.5843,0,1.5653,3.4063,M
5.7328,7.603,10.2762,6.9044,1.7365,5.0602,5.8432,3.5645,6.2846,6.8875,7.0156,5.0486,6.9242,7.5903,7.7742,3.4123,4.2365,3.3257,0.79861,H
0,2.3102,4.0234,4.2098,1.7706,0,0,2.335,3.1886,6.6261,4.1326,0,1.5671,1,3.9911,0.79793,0,0,0,M
4.5688,8.0774,7.12,4.4383,2.5688,5.1764,3.4417,6.143,8.2243,8.7171,9.7636,3.4221,4.3903,8.603,5.3146,4.2456,10.252,4.2657,1.6784,M
8.9972,10.0434,10.5115,6.0984,8.0156,9.8074,7.8136,7.0654,11.0165,8.2448,10.7068,7.1705,11.6292,10.5785,7.2485,9.8427,8.0882,7.8141,3.5768,M
5.0856,6.9307,11.2147,6.1778,5.1492,6.0233,1.6948,4.2033,7.7712,9.766,8.0545,2.5274,6.1697,8.0259,6.0246,6.0611,3.419,1.6639,0,M
0.80991,3.2919,5.1937,7.61,5.1843,0,0,3.3069,8.4894,8.9022,12.1647,0.80167,2.4043,6.2363,7.1828,5.2947,2.4732,0,6.8125,H
0.80881,6.6822,4.9696,10.3755,5.1108,6.8834,0,8.4383,4.8847,10.3369,1.6063,4.0048,6.5358,6.0079,10.3844,2.4261,0.81613,0,7.7921,M
1,3.2289,2.4357,3.226,3.186,0.7851,0,1.6782,3.2289,1.6197,0,1,3.1784,1.5965,3.187,1.6298,0,0,3.1935,M
0,4.1603,7.5642,5.4255,6.0797,0.87687,1.6953,7.6852,5.1727,8.3511,8.7409,0,2.4793,7.3765,6.9911,6.1288,0,0.80983,2.6459,M
5.0126,0.80443,5.0476,6.9888,5.9621,3.2754,3.2307,0.81117,5.2031,7.6895,7.2406,2.5316,1.8605,4.031,6.0129,5.9864,2.4251,0.82235,4.9583,M
0,3.2233,5.2551,7.1412,5.272,0,0,5.3084,7.6394,8.8,9.0364,1.6532,4.3735,7.0344,8.8407,5.2632,0,0,5.0341,M
0.80632,2.5468,6.0202,6.9007,2.7225,1.6108,0.80446,5.1161,5.0973,7.8653,6.1681,0,2.5356,9.1555,7.4978,3.4408,0,0,5.0998,H
3.5354,6.9189,7.9798,8.0851,5.3515,4.4247,2.5928,5.222,8.1556,9.6596,7.1194,0.8723,1.7099,9.756,8.2684,9.0662,2.6189,2.5883,6.3126,H
4.1166,6.097,4.2594,5.4453,6.1816,5.9518,0,4.3802,5.5177,8.7312,3.409,0.82551,1.7324,6.3327,8.9588,3.5314,0.81818,0,4.4057,H
