@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 1\nSize of the tree: 1\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

despues_C_delta_HM_AMB,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,1,3,0,25,75,0,-0.5,0.647273,0.728621,129.454545,145.724295,4,8.700223,-4.700223,1,2.175056,-1.175056,-1.306103,-0.326526,-130.610313,0,0,0.5,1,0.5,1,1,2,0,0,0,-0.57735,0.25,0.5,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.25,0.458333,0.2,0.25,0.001,0,0,0,0,0,4255,9005,2957,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
despues_C_delta_HM_AMB,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,3,1,0,75,25,0,0.5,0.219792,0.439583,43.958333,87.916667,4,3.04891,0.95109,1,0.762227,0.237773,2.185791,0.546448,218.579141,0.5,1,0,0,1,2,0.5,1,1,0.5,0.666667,0.57735,1,1,0.75,0.25,0.75,0.25,0.833333,0.75,0.733333,0.57735,1,1,0.733333,0.75,0.001,0,0,0,0,0,5347,9005,2957,100,62.5,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
despues_C_delta_HM_AMB,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,1,3,0,25,75,0,-0.5,0.75,0.866025,150,173.205081,4,3222,-3218,1,805.5,-804.5,-2,-0.5,-200,0,0,0.5,1,0.5,1,1,2,0,0,0,-0.57735,0.25,0.5,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.25,0.458333,0.2,0.25,0,0,0,0,0,0,5347,9005,2957,25,50,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
despues_C_delta_HM_AMB,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,3,1,0,75,25,0,0.5,0.283144,0.504375,56.628744,100.874977,4,1074.205189,-1070.205189,1,268.551297,-267.551297,1.794811,0.448703,179.481113,0.5,1,0,0,1,2,0.5,1,1,0.5,0.666667,0.57735,0.75,0.75,0.75,0.25,0.75,0.25,0.833333,0.75,0.733333,0.57735,0.75,0.708333,0.733333,0.75,0.001,0,0.01,0,10,0,5711,9005,2957,75,62.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_delta_HM_AMB,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,3,1,0,75,25,0,0.5,0.25,0.5,50,100,4,1074,-1070,1,268.5,-267.5,2,0.5,200,1,2,0.5,1,0.5,1,0,0,0.666667,1,0.8,0.57735,0.75,0.666667,0.75,0.25,0.75,0.25,0.833333,0.75,0.733333,0.57735,0.75,0.708333,0.733333,0.75,0.001,0,0,0,0,0,5711,9005,2957,75,50,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_delta_HM_AMB,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,1,3,0,25,75,0,-0.5,0.696203,0.808691,139.240506,161.738274,4,2150.216318,-2146.216318,1,537.554079,-536.554079,-1.650416,-0.412604,-165.041556,0,0,0.5,1,0.5,1,1,2,0,0,0,-0.57735,0.375,0.5,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.375,0.5,0.2,0.25,0.001,0,0,0,0,0,5347,9005,2957,50,62.5,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
despues_C_delta_HM_AMB,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,4,0,0,100,0,0,1,0.03125,0.0625,6.25,12.5,4,0.192645,3.807355,1,0.048161,0.951839,3.807355,0.951839,380.735492,1,2,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5711,9005,2957,100,62.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_delta_HM_AMB,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,1,3,0,25,75,0,-0.5,0.75,0.866025,150,173.205081,4,3222,-3218,1,805.5,-804.5,-2,-0.5,-200,0.5,1,1,2,0,0,0.5,1,0.333333,0.5,0.4,-0.57735,0.25,0.416667,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.25,0.458333,0.2,0.25,0,0,0,0,0,0,5711,9005,2957,25,50,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_delta_HM_AMB,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,1,3,0,25,75,0,-0.5,0.697222,0.7814,139.444444,156.280059,4,1079.717857,-1075.717857,1,269.929464,-268.929464,-1.657894,-0.414474,-165.789402,0.5,1,1,2,0,0,0.5,1,0.333333,0.5,0.4,-0.57735,0.125,0.416667,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.125,0.416667,0.2,0.25,0.001,0,0,0,0,0,5347,9005,2957,75,87.5,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
despues_C_gamma_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,37,5,2,3,0,40,60,0,-0.363636,0.545098,0.710822,108.463385,141.394811,5.039372,2149.86507,-2144.825698,1.007874,429.973014,-428.96514,-0.500502,-0.1001,-50.073965,0.666667,2,1,2,0,0,0.333333,1,0.5,0.666667,0.571429,-0.408248,0.5,0.644444,0.4,0.733333,0.266667,0.6,0.3,0.4,0.342857,-0.408248,0.5,0.566667,0.285714,0.4,0,0,0,0,0,0,5711,9194,3146,60,60,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_gamma_HM_AMB,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,37,5,3,2,0,60,40,0,0.166667,0.4,0.608834,79.591837,121.107741,5.039372,1077.769993,-1072.730621,1.007874,215.553999,-214.546124,1.037475,0.207495,103.796702,0.5,1,0.333333,1,0.666667,2,0.5,1,0.5,0.5,0.5,0.166667,0.583333,0.45,0.6,0.433333,0.566667,0.4,0.6,0.6,0.6,0.166667,0.583333,0.566667,0.583333,0.6,0.001,0,0,0,0,0,5711,9194,3146,80,70,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
